Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
1.959777	9.517031	-0.010512	14.440162
1.999038	9.692102	0.023652	14.92212
2.038809	10.065211	0.02463	15.354573
2.095782	10.438696	-0.000489	15.896997
2.105434	10.57401	0.005317	16.318489
2.131676	10.949603	0.012651	16.886725
2.161489	11.307953	-0.006845	17.608423
2.204505	11.61126	0.018763	18.067751
2.273456	11.914265	-0.000244	18.801825
2.330348	12.166141	0.007762	19.24913
2.364405	12.401979	-0.006906	19.704567
2.417215	12.791654	0.004584	20.315589
2.473862	13.079072	0.003117	20.877107
2.546568	13.332605	0.004584	21.502273
2.624131	13.668516	0.012712	22.027016
2.656862	14.167827	-0.003178	22.697089
2.691633	14.331151	0.005134	23.284066
2.721364	14.812917	0.004156	23.925144
2.756585	15.101239	0.012895	24.581426
2.804661	15.334291	-0.007334	25.060555
2.837004	15.746405	0.005806	25.778011
2.866634	16.12117	0.007151	26.418381
2.897059	16.55851	0.003606	27.058752
2.923117	16.864225	0.012895	27.631938
2.920995	16.534414	-0.008617	27.347997
2.8911	14.407355	0.005134	25.71118
2.872286	11.504033	0.010267	23.443893
2.845554	9.582391	-0.002445	21.457012
2.83578	8.749202	0.01149	20.466577
2.832515	8.518033	0.017112	20.163541
2.83529	8.54243	0.001406	20.174149
2.833066	8.569463	0.002934	20.075141
2.817476	7.308724	0.023224	18.752675
2.783929	5.838878	-0.001956	16.586871
2.753585	4.590112	0.001222	14.447234
2.725344	3.739153	-0.006356	12.959283
2.697347	2.834656	0.003667	10.945882
2.676839	2.184972	0.019496	9.455456
2.644536	1.731669	0.0044	8.225279
2.62362	1.466615	0.014973	7.352593
2.610418	1.150734	0.000061	6.744046
2.604623	1.059471	0.009779	6.525168
2.602174	1.139213	0.012162	6.5234
2.601582	1.211501	0.004828	6.530825
2.603704	1.236801	0.006845	6.506781
2.59946	1.236199	0.002628	6.566185
2.592624	1.210296	0.003667	6.424745
2.585523	1.134996	0.014912	6.335638
2.512449	0.755261	0.015646	5.1387
2.443967	0.424169	0.005623	3.970404
2.373812	0.196087	0.002934	2.963703
2.33853	-0.109779	0.011918	2.109404
2.2787	-0.062491	0.012957	1.4952
2.19775	-0.226644	0.019068	1.024558
2.158714	-0.235981	0.016073	0.557451
2.131268	-0.18297	-0.008617	0.317003
2.105414	-0.289594	0.008556	0.02599
2.085967	-0.263766	-0.021574	-0.170612
2.058705	-0.298103	0.009595	-0.306395
1.981163	-0.287185	0.007273	-0.460565
1.949432	-0.561952	0.00874	-0.551086
1.931964	-0.361656	-0.012712	-0.56523
1.899152	-0.453145	0.003667	-0.636304
1.862421	-0.458943	0.033736	-0.664239
1.824691	-0.591093	0.014179	-0.719754
1.787879	-0.495011	0.017051	-0.644791
1.75123	-0.568579	0.004645	-0.788706
1.732048	-0.491698	0.012468	-0.756528
1.700154	-0.463084	0.00874	-0.792949
1.666015	-0.542073	0.004828	-0.733544
1.629611	-0.556455	0.027441	-0.7537
1.588024	-0.670911	0.025852	-0.862255
1.561312	-0.634466	0.008067	-0.740616
1.542702	-0.568503	0.021268	-0.568413
1.500401	-0.708259	-0.00055	-0.650448
1.447754	-0.790637	0.01314	-0.511837
1.383761	-0.871584	0.003178	-0.596701
1.323523	-0.906824	0.011245	-0.51997
1.257429	-0.985135	0.003422	-0.613674
1.20672	-1.029938	0.011734	-0.609077
1.159501	-1.025722	0.023224	-0.490267
1.094672	-1.117587	0.013873	-0.496278
1.020884	-1.18129	0.0022	-0.439349
0.985357	-1.28302	0.00874	-0.327965
0.956891	-1.112467	0.013445	-0.280936
0.919589	-1.181742	-0.010756	-0.269974
0.877288	-1.052227	0.016807	-0.129595
0.850373	-1.039351	0.016868	-0.155407
0.806133	-1.038071	0.018029	0.030233
0.745977	-1.080916	-0.001956	0.005481
0.711042	-1.069395	0.009534	0.090699
0.673168	-1.296197	0.004828	0.160004
0.646396	-1.142361	0.008862	0.244868
0.623052	-1.223609	0.006295	0.308516
0.573649	-1.39627	0.012162	0.471526
0.540286	-1.347778	0.006295	0.448896
0.50935	-1.375488	0.01369	0.669189
0.455581	-1.517879	0.014179	0.679443
0.406403	-1.519761	0.005867	0.867559
0.339166	-1.587531	0.012162	0.877106
0.290845	-1.635346	0.008312	1.103057
0.250767	-1.789635	0.031719	1.119323
0.234443	-1.866365	-0.001528	1.339969
0.202018	-1.846787	0.018274	1.406446
0.170532	-1.963727	0.006601	1.547533
0.130128	-2.005594	0.023224	1.676597
0.06938	-2.257997	0.01369	1.87037
0.012325	-2.201598	0.007273	2.004385
-0.032711	-2.397452	0.009045	2.248015
-0.065931	-2.463941	0.002628	2.330051
-0.098683	-2.60558	0.006601	2.384859
-0.118415	-2.665518	-0.006662	2.487049
-0.170001	-2.853691	0.013445	2.676226
-0.212772	-2.905874	0.005684	2.817666
-0.253318	-3.064831	0.015401	2.972189
-0.293191	-3.098942	0.012468	3.14899
-0.342328	-3.243216	0.001467	3.33074
-0.378937	-3.281166	0.007089	3.512137
-0.416993	-3.325066	-0.008006	3.636958
-0.454214	-3.40285	0.000978	3.855837
-0.496352	-3.630179	0.013873	4.156044
-0.55559	-3.710072	0.021574	4.33143
-0.628235	-3.911799	0.006845	4.629869
-0.680739	-4.136794	0.000183	4.859002
-0.746181	-4.255541	0.008251	5.086367
-0.801276	-4.378355	0.008312	5.348385
-0.840313	-4.511258	0.000061	5.645056
-0.880308	-4.791674	0.011184	5.997242
-0.924528	-4.943101	0.005378	6.262089
-0.970502	-5.066667	0.004095	6.647867
-1.006967	-5.251302	0.008556	6.98202
-1.053758	-5.438044	0.013201	7.393257
-1.096018	-5.685855	0.010451	7.674723
-1.143197	-5.78653	0.010206	8.224926
-1.191048	-6.048873	0.000917	8.622373
-1.240492	-6.382902	0.009962	8.9933
-1.26957	-6.600442	-0.008801	9.415852
-1.298199	-6.776869	0.014973	9.91549
-1.332502	-7.096665	-0.006906	10.199077
-1.370436	-7.382276	0.006784	10.738318
-1.409064	-7.636713	0.009717	11.127633
-1.438939	-7.98678	0.005134	11.532152
-1.475016	-8.151536	0.033003	12.038154
-1.500381	-8.294605	-0.001956	12.527537
-1.534581	-8.666885	0.00874	12.900586
-1.55213	-9.071996	0.008495	13.428158
-1.580065	-9.265892	0.012162	13.872987
-1.606756	-9.637646	0.011734	14.385001
-1.6331	-9.892233	0.013384	15.054013
-1.654465	-10.286125	0.007578	15.488235
-1.676116	-10.528514	-0.000733	16.132495
-1.709336	-10.915252	0.0044	16.783827
-1.738068	-11.3047	0.008251	17.3213
-1.785736	-11.531804	0.006356	18.069165
-1.824834	-12.204378	0.010451	18.57835
-1.866155	-12.354375	0.008006	19.278479
-1.931985	-12.868595	0.018763	19.849897
-1.976673	-13.23327	0.02029	20.62499
-2.02679	-13.602539	-0.003667	21.300013
-2.073377	-13.84538	0.009106	22.022419
-2.100802	-14.2026	-0.003178	22.762151
-2.144614	-14.744079	-0.003484	23.465109
-2.179099	-15.122684	0.005073	24.256114
-2.226339	-15.590746	0.001895	25.016709
-2.270926	-16.151877	-0.002261	25.848377
-2.299249	-16.602469	0.010023	26.559468
-2.334306	-17.016993	0.005562	27.346583
-2.333674	-16.918125	-0.002261	27.430032
-2.323797	-15.710397	0.001406	26.811939
-2.283251	-12.726128	0.026646	24.578244
-2.276211	-11.795653	0.002872	23.592406
-2.267559	-11.728561	0.000733	23.486679
-2.271579	-11.698441	0.011429	23.415605
-2.256315	-10.145239	0.00874	22.118952
-2.225462	-7.973829	0.009045	19.376426
-2.19469	-6.208207	0.010451	17.033823
